"Date","Station.ID","Data","ENS","Estimated","Q0","Q1","Q3","Q4"
"02/01/2022","IT0063A",NA,"12.42","17.1798621265309","8.78759561355937","13.6403422594232","21.637848748459","33.5868507912671"
"02/01/2022","IT0187A",NA,"39.19","28.521507564808","15.3757402446181","23.0583831533136","35.2789867511807","52.9064865058535"
"02/01/2022","IT0448A",NA,"65.76","33.8433137222979","18.0851417857852","27.2782527780162","41.9883888101861","63.3320931222189"
"02/01/2022","IT0459A",NA,"23.18","23.972785465211","12.5238796879258","19.1725464390949","29.974862483012","45.8878923529654"
"02/01/2022","IT0461A",NA,"22.92","25.1460451170393","13.0273544568648","20.053051078003","31.5325374960919","48.5381423466965"
"02/01/2022","IT0462A",NA,"22.65","25.5113704769313","12.9815921356207","20.2191522301351","32.1887889365226","50.1348383782143"
"02/01/2022","IT0463A",NA,"23.15","22.1403159565086","11.5072966994548","17.6757312109578","27.732577781571","42.5985010603971"
"02/01/2022","IT0469A",NA,"114.81","71.8524213419627","42.8597602681012","60.1479266693195","85.8345538839062","120.457287217852"
"02/01/2022","IT0470A",NA,"112.4","74.695802804121","44.9875310337257","62.735961415059","88.9356412287778","124.022430845769"
"02/01/2022","IT0499A",NA,"13.48","36.9943617226523","20.4509616716586","30.1681034548542","45.3652249407886","66.9202173100278"
"02/01/2022","IT0502A",NA,"30.58","24.9931769552496","14.8440376095689","20.8907735458336","29.9011854657245","42.0814680443645"
"02/01/2022","IT0507A",NA,"17.2","27.6379656852563","16.4738714515843","23.1300004460848","33.024519346635","46.3677982109021"
"02/01/2022","IT0508A",NA,"16.53","23.0844966054465","13.2942463561294","19.0917814894907","27.9122188686377","40.0845575786382"
"02/01/2022","IT0524A",NA,"58.82","48.3552545763674","29.5033361646541","40.7945380537456","57.3172477664719","79.2530930094127"
"02/01/2022","IT0544A",NA,"19.3","18.8651609836416","8.06437605373851","14.0813495333036","25.2741612653669","44.1316596060432"
"02/01/2022","IT0591A",NA,"37.41","16.1527442413601","8.16752225865958","12.774062775613","20.4250715774544","31.9449568992801"
"02/01/2022","IT0594A",NA,"62.26","48.2299217258731","24.8176695378285","38.3720366918005","60.6203253782696","93.7285971246508"
"02/01/2022","IT0611A",NA,"18.1","14.1320828532182","7.35940710136584","11.2899309146983","17.6897243463389","27.1374803729987"
"02/01/2022","IT0614A",NA,"19.19","20.5816425638086","10.7258216898616","16.4464875556405","25.756503277145","39.4938516481941"
"02/01/2022","IT0618A",NA,"18.48","21.8842332997813","11.6622656764554","17.6223135808225","27.176889397794","41.0657483207687"
"02/01/2022","IT0620A",NA,"18.19","23.6226806315268","12.5958177375753","19.0259032914096","29.3300681535088","44.302883055732"
"02/01/2022","IT0623A",NA,"56.28","51.5020790092194","28.520921273272","42.024153730984","63.1176099167047","93.0006473794237"
"02/01/2022","IT0643A",NA,"27.71","33.147626402596","18.4007255428777","27.0698488933904","40.5899988748871","59.713141939198"
"02/01/2022","IT0663A",NA,"59.61","26.907845279037","12.4699236941687","20.6506176136241","35.0610403575976","58.0622749038288"
"02/01/2022","IT0692A",NA,"38.91","30.5082118467871","19.0500591826118","25.9438469408368","35.8755967151269","48.858167902071"
"02/01/2022","IT0702A",NA,"44.44","28.8984460859222","15.303666584692","23.2202232813746","35.9652091222921","54.5699412333191"
"02/01/2022","IT0703A",NA,"26.38","25.6306903641731","13.5887768934137","20.602690958667","31.8857517137955","48.3437393738155"
"02/01/2022","IT0705A",NA,"57.38","56.512620254252","29.5422178936487","45.2066327918477","70.6461873129649","108.105500389255"
"02/01/2022","IT0706A",NA,"57.05","48.3676106100685","27.9962463268178","40.071759664633","58.380909041835","83.5621221794389"
"02/01/2022","IT0707A",NA,"59.24","66.7240178283429","39.6147763364675","55.7650007551788","79.8367164864345","112.384694977026"
"02/01/2022","IT0709A",NA,"40.07","26.7931126071567","14.7333440077714","21.8094201621174","32.9156336043592","48.7242327879623"
"02/01/2022","IT0721A",NA,"48.36","35.4370459287497","19.3595073521929","28.7806534504926","43.6329295412444","64.8665382496972"
"02/01/2022","IT0732A",NA,"62.82","34.4830521755895","18.0797138937955","27.6124999812634","43.0631376424188","65.7687889492816"
"02/01/2022","IT0737A",NA,"46.03","34.1271373709845","18.3850524234278","27.5837619123044","42.2227217897541","63.3482830679303"
"02/01/2022","IT0740A",NA,"46.26","32.4309699464123","17.557385701906","26.2571910352523","40.0563719955048","59.9045797319881"
"02/01/2022","IT0741A",NA,"44.38","29.424753945399","11.5339314150387","21.3177535295457","40.6147929024174","75.0668712680545"
"02/01/2022","IT0742A",NA,"39.72","28.624142370445","15.4130388884682","23.1320497803208","35.4201868932751","53.1589865160542"
"02/01/2022","IT0753A",NA,"35.5","23.5948912869638","12.7990397126874","19.1162229787935","29.1228500243606","43.4969269055221"
"02/01/2022","IT0755A",NA,"34.64","31.4197798998194","17.0609738903796","25.4647315780859","38.7674445311116","57.8632014383283"
"02/01/2022","IT0761A",NA,"56.83","52.7136171444112","27.9258045571447","42.3614116707149","65.5956759431731","99.5038630583209"
"02/01/2022","IT0771A",NA,"63.94","63.1880292078691","34.5184530295187","51.3181475695871","77.8034131056739","115.669350296785"
"02/01/2022","IT0775A",NA,"33.25","31.7581266148504","15.900770303457","25.0302083357929","40.2944551061771","63.4295437791209"
"02/01/2022","IT0776A",NA,"55.07","49.2607754837787","28.7742648946821","40.9399251620046","59.2728001250805","84.3331362293716"
"02/01/2022","IT0777A",NA,"65.43","58.334365058602","33.2779193143091","48.0878735487258","70.7641635129117","102.256938441672"
"02/01/2022","IT0778A",NA,"58.22","47.0395066114196","28.339653534094","39.5120767018463","56.0009841786522","78.0784133293579"
"02/01/2022","IT0794A",NA,"24.13","19.3737784275281","10.1255751428256","15.4967022049152","24.2208494165878","37.0688366107186"
"02/01/2022","IT0804A",NA,"45.1","31.3663217749878","15.433508333717","24.5737121421049","40.0365291170779","63.7474072918794"
"02/01/2022","IT0813A",NA,"17.72","43.3007560852398","22.340101518913","34.4816376189208","54.3754765442058","83.9277957607358"
"02/01/2022","IT0817A",NA,"16.18","30.119175728276","15.9931427041816","24.2235352272835","37.4497255680917","56.7221066759806"
"02/01/2022","IT0825A",NA,"30","38.6675500469723","20.2507784820124","30.9512211990127","48.3076068960667","73.8331826582958"
"02/01/2022","IT0828A",NA,"34.27","44.6589292229857","23.4466954878372","35.7775426309767","55.7450236287846","85.0618783520361"
"02/01/2022","IT0832A",NA,"25.35","39.3702874730507","20.7111719445173","31.5622306817332","49.1099488924189","74.8397792197838"
"02/01/2022","IT0837A",NA,"64.31","60.0908921010833","37.6218105906735","51.1472784301688","70.5983861572224","95.9793071309326"
